size_label,instance_name,seed,weight,s2_config,r_tr,worst_arc,r_1,worst_trip,k_1,kit_bottleneck_part,mono_count,concentrated_count,exposure_count,nominal_cost,s1_dispatch_cost,s2_dispatch_cost,cost_saving,s1_optimal,s1_time,s2_optimal,s2_time
small,layered_small_seed5,5,300,hetero,0.2333,"(l2,l4,tr2)",0.7,"(l4,l5,tr1,k4)",0.7,p2,4.0,11.0,3.0,5170.0,4270.0,3185.0,1085.0,False,60.029,True,0.749
small,layered_small_seed5,5,300,conc,0.2333,"(l2,l4,tr2)",0.7,"(l4,l5,tr1,k1)",0.7,p2,9.0,9.0,3.0,5170.0,4270.0,4270.0,0.0,False,60.029,False,60.014
small,layered_small_seed5,5,300,both,0.2333,"(l2,l4,tr2)",0.7,"(l4,l5,tr1,k1)",0.7,p2,7.0,10.0,3.0,5170.0,4270.0,4060.0,210.0,False,60.029,False,60.011
small,layered_small_seed5,5,500,off_off,0.2333,"(l2,l4,tr2)",0.7,"(l4,l5,tr1,k3)",0.7,p2,6.0,8.0,3.0,5770.0,4270.0,3185.0,1085.0,False,60.019,True,0.086
small,layered_small_seed5,5,500,hetero,0.2333,"(l2,l4,tr2)",0.7,"(l4,l5,tr1,k3)",0.7,p2,4.0,11.0,3.0,5770.0,4270.0,3185.0,1085.0,False,60.019,True,0.728
small,layered_small_seed5,5,500,conc,0.2333,"(l2,l4,tr2)",0.7,"(l4,l5,tr1,k1)",0.7,p2,9.0,9.0,3.0,5770.0,4270.0,4270.0,0.0,False,60.019,False,60.011
small,layered_small_seed5,5,500,both,0.2333,"(l2,l4,tr2)",0.7,"(l4,l5,tr1,k1)",0.7,p2,7.0,10.0,3.0,5770.0,4270.0,4060.0,210.0,False,60.019,False,60.009
small,layered_small_seed5,5,750,off_off,0.3333,"(l4,l5,tr1)",0.7,"(l4,l5,tr1,k3)",0.7,p2,11.0,10.0,2.0,6400.0,4900.0,4130.0,770.0,False,60.014,True,0.051
small,layered_small_seed5,5,750,hetero,0.3333,"(l4,l5,tr1)",0.7333,"(l2,l4,tr1,k1)",0.7333,p2,1.0,13.0,2.0,6400.0,4900.0,4130.0,770.0,False,60.014,True,0.071
small,layered_small_seed5,5,750,conc,0.3333,"(l4,l5,tr1)",0.8,"(l2,l3,tr1,k1)",0.8,p2,9.0,14.0,2.0,6400.0,4900.0,4900.0,0.0,False,60.014,True,5.26
small,layered_small_seed5,5,750,both,0.3333,"(l4,l5,tr1)",0.8,"(l2,l3,tr1,k1)",0.8,p2,8.0,16.0,2.0,6400.0,4900.0,4900.0,0.0,False,60.014,True,3.609
small,layered_small_seed5,5,1000,off_off,0.4333,"(l4,l5,tr1)",0.7,"(l4,l5,tr1,k3)",0.7,p2,5.0,16.0,2.0,7005.0,5005.0,4270.0,735.0,False,60.015,True,0.03
small,layered_small_seed5,5,1000,hetero,0.4333,"(l4,l5,tr1)",0.7333,"(l4,l5,tr1,k1)",0.7333,p2,4.0,16.0,2.0,7005.0,5005.0,4445.0,560.0,False,60.015,True,0.091
small,layered_small_seed5,5,1000,conc,0.4333,"(l4,l5,tr1)",0.7667,"(l4,l5,tr1,k3)",0.7667,p2,9.0,15.0,2.0,7005.0,5005.0,5005.0,0.0,False,60.015,True,1.145
small,layered_small_seed5,5,1000,both,0.4333,"(l4,l5,tr1)",0.7667,"(l4,l5,tr1,k3)",0.7667,p2,9.0,15.0,2.0,7005.0,5005.0,5005.0,0.0,False,60.015,True,0.752
medium,layered_medium_seed1,1,0,off_off,0.3333,"(l2,l7,tr2)",0.8,"(l2,l7,tr2,k12)",0.8,p2,12.0,19.0,5.0,10006.0,10006.0,7576.0,2430.0,False,120.019,False,120.009
medium,layered_medium_seed1,1,0,hetero,0.3333,"(l2,l7,tr2)",0.8333,"(l5,l8,tr2,k5)",0.8333,p3,0.0,18.0,5.0,10006.0,10006.0,7576.0,2430.0,False,120.019,False,120.016
medium,layered_medium_seed1,1,0,conc,0.3333,"(l2,l7,tr2)",0.8,"(l2,l7,tr2,k8)",0.8,p1,6.0,15.0,5.0,10006.0,10006.0,8728.0,1278.0,False,120.019,False,120.016
medium,layered_medium_seed1,1,0,both,0.3333,"(l2,l7,tr2)",0.8,"(l2,l7,tr2,k8)",0.8,p1,7.0,15.0,5.0,10006.0,10006.0,8792.0,1214.0,False,120.019,False,120.189
